time,x,u
1.500000000000000000e+00,-3.799999999999999822e+00,4.000000000000000222e-01
1.500000000000000000e+00,-3.599999999999999645e+00,4.000000000000000222e-01
1.500000000000000000e+00,-3.399999999999999467e+00,4.000000000000000222e-01
1.500000000000000000e+00,-3.199999999999999289e+00,4.000000000000000222e-01
1.500000000000000000e+00,-3.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,-2.799999999999999822e+00,4.000000000000000222e-01
1.500000000000000000e+00,-2.599999999999999645e+00,4.000000000000000222e-01
1.500000000000000000e+00,-2.399999999999999467e+00,4.000000000000000222e-01
1.500000000000000000e+00,-2.199999999999999289e+00,4.000000000000000222e-01
1.500000000000000000e+00,-2.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,-1.799999999999998934e+00,4.000000000000000222e-01
1.500000000000000000e+00,-1.599999999999999645e+00,4.000000000000000222e-01
1.500000000000000000e+00,-1.400000000000000355e+00,4.000000000000000222e-01
1.500000000000000000e+00,-1.199999999999999289e+00,4.000000000000000222e-01
1.500000000000000000e+00,-1.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,-7.999999999999989342e-01,4.000000000000000222e-01
1.500000000000000000e+00,-5.999999999999996447e-01,4.000000000000000222e-01
1.500000000000000000e+00,-3.999999999999985789e-01,4.000000000000000222e-01
1.500000000000000000e+00,-1.999999999999992895e-01,4.000000000000000222e-01
1.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,2.000000000000010658e-01,4.000000000000000222e-01
1.500000000000000000e+00,4.000000000000003553e-01,4.000000000000000222e-01
1.500000000000000000e+00,6.000000000000014211e-01,4.000000000000000222e-01
1.500000000000000000e+00,8.000000000000007105e-01,4.000000000000000222e-01
1.500000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,1.200000000000001066e+00,4.000000000000000222e-01
1.500000000000000000e+00,1.400000000000000355e+00,4.000000000000000222e-01
1.500000000000000000e+00,1.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,1.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,2.200000000000001066e+00,4.000000000000000222e-01
1.500000000000000000e+00,2.400000000000000355e+00,4.000000000000000222e-01
1.500000000000000000e+00,2.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,2.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,3.200000000000001066e+00,4.000000000000000222e-01
1.500000000000000000e+00,3.400000000000000355e+00,4.000000000000000222e-01
1.500000000000000000e+00,3.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,3.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,4.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,4.200000000000001066e+00,4.000000000000000222e-01
1.500000000000000000e+00,4.400000000000000355e+00,4.000000000000000222e-01
1.500000000000000000e+00,4.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,4.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,5.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,5.200000000000001066e+00,4.000000000000000222e-01
1.500000000000000000e+00,5.400000000000000355e+00,4.000000000000000222e-01
1.500000000000000000e+00,5.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,5.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,6.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,6.199999999999999289e+00,4.000000000000000222e-01
1.500000000000000000e+00,6.400000000000002132e+00,4.000000000000000222e-01
1.500000000000000000e+00,6.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,6.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,7.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,7.199999999999999289e+00,4.000000000000000222e-01
1.500000000000000000e+00,7.400000000000002132e+00,4.000000000000000222e-01
1.500000000000000000e+00,7.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,7.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,8.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,8.199999999999999289e+00,4.000000000000000222e-01
